Entry	Araport
A0A178VER8	
A0A178VEW3	
A0A178VF52	
A0A178VF78	
A0A178VFD9	
A0A178VFJ7	
A0A178VGQ2	
A0A178VGZ4	
A0A178VGZ7	
A0A178VHD0	AT3G27100;
A0A178VHJ5	
A0A178VHS4	
A0A178VI54	
A0A178VIP8	
A0A178VIV3	AT3G57610;
A0A178VJF9	
A0A178VJI8	
A0A178VK36	
A0A178VKN9	
A0A178VKQ4	
A0A178VKR8	
A0A178VL64	
A0A178VLY4	
A0A178VM24	
A0A178VM70	
A0A178VME8	
A0A178VNE3	
A0A178VNV9	
A0A178VPM9	
A0A178VPU1	
A0A178VQ29	
A0A178VQS6	
A0A178VR02	
A0A178VR33	
A0A178VR44	
A0A178VR79	AT2G29100;
A0A178VRD2	
A0A178VRE4	
A0A178VRF6	
A0A178VRV0	
A0A178VS77	AT2G17170;
A0A178VSE2	
A0A178VSY9	
A0A178VTA3	
A0A178VTB0	
A0A178VTR7	
A0A178VTX5	
A0A178VU15	
A0A178VU56	
A0A178VU84	
A0A178VUM7	AT2G44180;
A0A178VUP5	
A0A178VUS6	
A0A178VUZ0	
A0A178VV00	
A0A178VV44	AT2G41490;
A0A178VVD4	
A0A178VVU5	
A0A178VVW7	
A0A178VW94	
A0A178VWN4	
A0A178VWW1	
A0A178VWX2	
A0A178VX00	
A0A178VX87	AT2G42030;
A0A178VXF8	
A0A178VXI8	
A0A178VXJ6	
A0A178VXX1	AT2G18790;
A0A178VY37	
A0A178VY74	
A0A178VYF1	
A0A178VYR4	
A0A178VZG2	
A0A178VZV4	
A0A178VZV9	AT1G52500;
A0A178W009	ATCG00340;
A0A178W0S0	
A0A178W0W2	
A0A178W197	
A0A178W1A2	
A0A178W1Z7	
A0A178W2D2	
A0A178W2E7	
A0A178W2F5	
A0A178W355	
A0A178W393	
A0A178W396	
A0A178W3P2	AT1G14810;
A0A178W4A5	
A0A178W4C2	
A0A178W4Z8	
A0A178W543	
A0A178W5A2	
A0A178W5C3	
A0A178W5X8	
A0A178W5Z0	
A0A178W646	
A0A178W6A3	
A0A178W6T3	
A0A178W6W4	AT1G50200;
A0A178W719	
A0A178W755	
A0A178W780	
A0A178W7B4	
A0A178W7I9	
A0A178W7W1	
A0A178W7W4	
A0A178W877	
A0A178W882	
A0A178W8R3	
A0A178W8S6	
A0A178W8X6	
A0A178W9E1	
A0A178W9G0	
A0A178W9H1	
A0A178W9Z0	
A0A178WA58	
A0A178WA81	
A0A178WAH8	
A0A178WAR7	
A0A178WAS9	
A0A178WAW5	
A0A178WB34	
A0A178WB58	
A0A178WBE7	AT1G01740;
A0A178WDD0	
A0A178WDH0	
A0A178WDH9	
A0A178WDL9	
A0A178WDV6	
A0A178WDY1	
A0A178WDZ2	
A0A178WEI6	
A0A178WEK4	
A0A178WES1	
A0A178WEW6	
A0A178WF20	AT1G19310;
A0A178WF72	
A0A178WFA7	
A0A178WFH0	
A0A178WFP0	
A0A178WFP7	
A0A178WFS7	
A0A178WG28	
A0A178WG66	
A0A178WG77	
A0A178WGR0	
A0A178WHM1	
A0A178WI76	
A0A178WIB1	
A0A178WJ26	
A0A178WJQ9	
A0A178WK00	
A0A178WK01	
A0A178WK02	
A0A178WK27	
A0A178WK35	
A0A178WK46	
A0A178WK78	
A0A178WK83	
A0A178WKA7	
A0A178WKM3	
A0A178WKT1	
A0A178WL67	AT1G11340;
A0A178WLG7	AT1G51790;
A0A178WM41	
A0A178WMA8	
A0A178WMB2	AT1G74990;
A0A178WMJ8	
A0A178WMJ9	
A0A178WMV9	
A0A178WN39	
A0A178WND9	
A0A178WP98	
A0A178WPF1	
A0A178WPT5	
A0A178WQQ5	
A0A178WR43	
A0A1B1W4S3	
A0A1B1W4S8	
A0A1B1W4T2	
A0A1B1W4T4	
A0A1B1W4T6	
A0A1B1W4T7	
A0A1B1W4T9	
A0A1B1W4U0	
A0A1B1W4U2	
A0A1B1W4U5	
A0A1B1W4U8	
A0A1B1W4V0	
A0A1B1W4V1	
A0A1B1W4V2	
A0A1B1W4V3	ATCG00500;
A0A1B1W4V6	
A0A1B1W4W2	ATCG00580;
A0A1B1W4Y1	
A0A1B1W4Y4	
A0A1B1W4Y7	
A0A1B1W4Y8	
A0A1B1W4Z4	
A0A1B1W4Z8	
A0A1B1W501	
A0A1B1W502	
A0A1B1W503	
A0A1I9LLK4	AT3G05790;
A0A1I9LLQ3	AT3G09240;
A0A1I9LLU6	AT3G49600;
A0A1I9LLZ5	AT3G23410;
A0A1I9LLZ6	AT3G27300;
A0A1I9LMG6	AT3G57260;
A0A1I9LN28	AT3G59410;
A0A1I9LN30	AT3G59410;
A0A1I9LNB3	AT3G27440;
A0A1I9LP88	AT3G54870;
A0A1I9LPG3	AT3G12980;
A0A1I9LPL1	AT3G16030;
A0A1I9LPL3	AT3G16030;
A0A1I9LPL5	AT3G16030;
A0A1I9LPL6	AT3G16030;
A0A1I9LQ38	AT3G16785;
A0A1I9LQ40	AT3G16785;
A0A1I9LQ42	AT3G16785;
A0A1I9LQE8	AT3G14570;
A0A1I9LRM8	AT3G49220;
A0A1I9LRU3	AT3G55630;
A0A1I9LS30	AT3G60330;
A0A1I9LSK3	AT3G02260;
A0A1I9LSK4	AT3G02260;
A0A1I9LSK5	AT3G02260;
A0A1I9LSX7	AT3G05690;
A0A1I9LT22	AT3G57300;
A0A1I9LT77	AT3G50660;
A0A1I9LTB3	AT3G58160;
A0A1I9LTB4	AT3G58160;
A0A1I9LTC7	AT3G21500;
A0A1I9LTQ6	AT3G10270;
A0A1P8AM77	AT1G23540;
A0A1P8AM79	AT1G30000;
A0A1P8AM91	AT1G61430;
A0A1P8AMJ7	AT1G11310;
A0A1P8AMM8	AT1G67500;
A0A1P8AMN7	AT1G67500;
A0A1P8AMR1	AT1G11410;
A0A1P8AMR8	AT1G11410;
A0A1P8AMT2	AT1G11410;
A0A1P8AMY7	AT1G11330;
A0A1P8ANQ5	AT1G30270;
A0A1P8ANY4	AT1G50990;
A0A1P8ANZ5	AT1G59560;
A0A1P8AP03	AT1G59560;
A0A1P8AP06	AT1G59560;
A0A1P8AP18	AT1G68690;
A0A1P8APA3	AT1G10060;
A0A1P8APA5	AT1G10060;
A0A1P8APC9	AT1G14520;
A0A1P8APE4	AT1G10060;
A0A1P8APE6	AT1G10520;
A0A1P8APW2	AT1G55250;
A0A1P8AQ73	AT1G57800;
A0A1P8AQG0	AT1G55970;
A0A1P8AQR8	AT1G54490;
A0A1P8AQT8	AT1G65310;
A0A1P8AQU3	AT1G21240;
A0A1P8AR51	AT1G27770;
A0A1P8ARA0	AT1G02880;
A0A1P8ARD2	AT1G79560;
A0A1P8ARD8	AT1G61610;
A0A1P8ARE4	AT1G79560;
A0A1P8ARS3	AT1G67070;
A0A1P8ARU2	AT1G47845;
A0A1P8ARX5	AT1G11580;
A0A1P8AS04	AT1G61420;
A0A1P8ASF1	AT1G11300;
A0A1P8ASG9	AT1G61440;
A0A1P8ASM5	AT1G61440;
A0A1P8ASU0	AT1G08840;
A0A1P8ASX4	AT1G48050;
A0A1P8ASZ4	AT1G01560;
A0A1P8AT14	AT1G48050;
A0A1P8AT29	
A0A1P8AT44	AT1G51420;
A0A1P8AT62	AT1G01740;
A0A1P8ATA1	AT1G79000;
A0A1P8ATC6	AT1G11340;
A0A1P8ATF5	AT1G11340;
A0A1P8ATV1	AT1G26150;
A0A1P8AU37	AT1G61500;
A0A1P8AU51	AT1G61500;
A0A1P8AUM8	AT1G31180;
A0A1P8AUV6	AT1G20570;
A0A1P8AV65	AT1G31360;
A0A1P8AV94	AT1G31360;
A0A1P8AV97	AT1G31360;
A0A1P8AV98	AT1G31360;
A0A1P8AVA5	AT1G31360;
A0A1P8AVD9	AT1G09570;
A0A1P8AVJ2	AT1G61490;
A0A1P8AVP6	AT1G54957;
A0A1P8AVQ7	AT1G61400;
A0A1P8AVR7	AT1G52500;
A0A1P8AW31	AT1G16190;
A0A1P8AWB8	AT1G66980;
A0A1P8AWC0	AT1G66980;
A0A1P8AWH4	AT1G66980;
A0A1P8AWK0	AT1G55810;
A0A1P8AWM1	AT1G55810;
A0A1P8AWN7	AT1G16260;
A0A1P8AX74	AT2G38650;
A0A1P8AXC1	AT2G30950;
A0A1P8AXT8	AT2G41560;
A0A1P8AY30	AT2G01420;
A0A1P8AYB9	AT2G44950;
A0A1P8AYL6	AT2G16090;
A0A1P8AYL7	AT2G16090;
A0A1P8AYS1	AT2G16090;
A0A1P8AYS5	AT2G16090;
A0A1P8AYX4	AT2G18960;
A0A1P8AYY4	AT2G30070;
A0A1P8AZK1	AT2G26540;
A0A1P8AZL4	AT2G26540;
A0A1P8AZP2	AT2G25170;
A0A1P8AZP6	AT2G25170;
A0A1P8AZX4	AT2G34660;
A0A1P8B0B7	AT2G02790;
A0A1P8B0E9	AT2G26650;
A0A1P8B0R5	AT2G04430;
A0A1P8B1G7	AT2G24195;
A0A1P8B1L1	AT2G14620;
A0A1P8B1N1	AT2G36530;
A0A1P8B259	AT2G06200;
A0A1P8B288	AT2G06850;
A0A1P8B2B9	AT2G27120;
A0A1P8B2E1	AT2G27120;
A0A1P8B2E5	AT2G24800;
A0A1P8B3L0	AT4G11050;
A0A1P8B3P9	AT4G29050;
A0A1P8B3S1	AT4G30210;
A0A1P8B428	AT4G26010;
A0A1P8B4A9	AT4G33420;
A0A1P8B4T9	AT4G08590;
A0A1P8B4U7	AT4G08590;
A0A1P8B4V7	AT4G08590;
A0A1P8B4X2	AT4G14710;
A0A1P8B564	AT4G35090;
A0A1P8B5D5	AT4G13890;
A0A1P8B5P5	AT4G21390;
A0A1P8B5T5	AT4G15980;
A0A1P8B676	AT4G34570;
A0A1P8B679	AT4G34570;
A0A1P8B6F4	AT4G36740;
A0A1P8B6F9	AT4G02120;
A0A1P8B6J0	AT4G28220;
A0A1P8B6N1	AT4G11900;
A0A1P8B7B5	AT4G02390;
A0A1P8B7C8	AT4G02390;
A0A1P8B7G4	AT4G31110;
A0A1P8B7K6	AT4G25980;
A0A1P8B837	AT4G03230;
A0A1P8B838	AT4G03230;
A0A1P8B840	AT4G03230;
A0A1P8B842	AT4G12720;
A0A1P8B846	AT4G12720;
A0A1P8B859	AT4G03230;
A0A1P8B870	AT4G01320;
A0A1P8B8F8	AT4G33810;
A0A1P8B8L3	AT4G34640;
A0A1P8B8L6	AT4G18990;
A0A1P8B8M4	AT4G25434;
A0A1P8B8M5	AT4G25434;
A0A1P8B8M8	AT4G25434;
A0A1P8B8M9	AT4G25434;
A0A1P8B8N1	AT4G25434;
A0A1P8B8N4	AT4G25434;
A0A1P8B8N5	AT4G25434;
A0A1P8B8N6	AT4G25434;
A0A1P8B8N9	AT4G25434;
A0A1P8B8P8	AT4G25434;
A0A1P8B8Q5	AT4G24260;
A0A1P8B8R5	AT4G24260;
A0A1P8B8U7	AT4G02260;
A0A1P8B912	AT4G00340;
A0A1P8B956	AT4G12290;
A0A1P8B968	AT4G27340;
A0A1P8B9B7	AT5G36870;
A0A1P8B9D3	AT5G36870;
A0A1P8B9E7	AT5G36870;
A0A1P8B9J8	AT5G08650;
A0A1P8B9L1	AT5G14780;
A0A1P8B9N1	AT5G14780;
A0A1P8B9P9	AT5G10890;
A0A1P8BA43	AT5G22010;
A0A1P8BAG8	AT5G03790;
A0A1P8BAP0	AT5G03300;
A0A1P8BAQ4	AT5G58910;
A0A1P8BAS9	AT5G06740;
A0A1P8BB63	AT5G54260;
A0A1P8BB70	AT5G04110;
A0A1P8BB88	AT5G04110;
A0A1P8BBD5	AT5G14060;
A0A1P8BBK5	AT5G15070;
A0A1P8BBL0	AT5G39340;
A0A1P8BBL1	AT5G15070;
A0A1P8BBN0	AT5G15070;
A0A1P8BBN6	AT5G23320;
A0A1P8BBV6	AT5G59270;
A0A1P8BBW2	AT5G59270;
A0A1P8BC88	AT5G43710;
A0A1P8BC90	AT5G43710;
A0A1P8BCG5	AT5G60020;
A0A1P8BCH1	AT5G60020;
A0A1P8BCH9	AT5G13220;
A0A1P8BCQ5	AT5G56260;
A0A1P8BCQ9	AT5G20860;
A0A1P8BCS4	AT5G07920;
A0A1P8BCS7	AT5G41360;
A0A1P8BCY2	AT5G20490;
A0A1P8BCY7	AT5G49160;
A0A1P8BD36	AT5G27765;
A0A1P8BD43	AT5G57350;
A0A1P8BE32	AT5G01060;
A0A1P8BE40	AT5G01060;
A0A1P8BE65	AT5G40280;
A0A1P8BEG0	AT5G44635;
A0A1P8BEG9	AT5G58410;
A0A1P8BEH7	AT5G47650;
A0A1P8BEI5	AT5G47240;
A0A1P8BEL5	AT5G47650;
A0A1P8BF67	AT5G65165;
A0A1P8BFE7	AT5G02880;
A0A1P8BFH3	AT5G02310;
A0A1P8BFL5	AT5G56740;
A0A1P8BFQ5	AT5G26680;
A0A1P8BFU4	AT5G40650;
A0A1P8BFX1	AT5G37500;
A0A1P8BFX8	AT5G37500;
A0A1P8BG91	AT5G14130;
A0A1P8BGF7	AT5G56330;
A0A1P8BGJ7	AT5G35410;
A0A1P8BGJ8	AT5G63570;
A0A1P8BGK2	AT5G53370;
A0A1P8BGN7	AT5G19180;
A0A1P8BGQ2	AT5G46280;
A0A1P8BGQ6	AT5G46280;
A0A1P8BGU1	AT5G20990;
A0A1P8BGV8	AT5G46280;
A0A1P8BGX3	AT5G56640;
A0A1P8BH03	AT5G03960;
A0A1P8BH24	AT5G51465;
A0A1P8BHD2	AT5G56320;
A0A1P8BHH7	AT5G59750;
A0A1P8BHL0	AT5G22130;
A0A1R7T3A1	AT5G01190;
A0A1R7T3H6	AT5G44030;
A0A2H1ZE65	AT5G22470;
A0A2H1ZE77	AT5G26860;
A0A2H1ZE80	AT5G24140;
A0A2H1ZEC5	AT1G24793;AT1G25210;
A0A2H1ZEC8	
A0A2H1ZEC9	AT1G54360;
A0A2P2CLC5	
A0A384K8P4	
A0A384K963	
A0A384KCK0	
A0A384KCT1	AT3G09100;
A0A384KCX5	
A0A384KE95	
A0A384KEE5	
A0A384KGR2	
A0A384KH19	
A0A384KH43	AT3G24200;
A0A384KK65	
A0A384KR22	
A0A384KTF9	
A0A384L0L2	
A0A384L3Q5	
A0A384L761	
A0A384L792	
A0A384L7F4	
A0A384L8X8	
A0A384L942	
A0A384LAI4	
A0A384LD83	
A0A384LEN8	
A0A384LES0	
A0A384LG35	
A0A384LG78	
A0A384LJ55	AT3G24200;
A0A384LJI9	
A0A384LKB4	
A0A384LMK6	
A0A384LP57	
A0A514YIY1	
A0A514YIZ8	
A0A514YJ81	
A0A514YJ89	
A0A514YJ95	
A0A514YJC9	
A0A514YJI3	
A0A514YJK5	
A0A5S9S398	
A0A5S9SJG6	
A0A5S9SNY7	AT1G05240;
A0A5S9TBL7	
A0A5S9TCQ8	AT1G08840;
A0A5S9TK08	
A0A5S9TS86	AT1G10940;
A0A5S9TTY2	
A0A5S9TTZ7	
A0A5S9TUF3	
A0A5S9TUJ6	
A0A5S9TVU3	
A0A5S9TVU8	
A0A5S9TWL5	
A0A5S9UHP0	
A0A5S9UP89	
A0A5S9UQ81	
A0A5S9UQD6	
A0A5S9URN9	
A0A5S9UTV8	
A0A5S9V062	
A0A5S9V7R2	
A0A5S9VDL0	
A0A5S9VDN5	
A0A5S9VDR1	
A0A5S9VDS8	
A0A5S9VDW8	
A0A5S9VEG7	
A0A5S9VR07	
A0A5S9WGQ8	
A0A5S9WIP4	
A0A5S9WLN0	
A0A5S9WMH4	
A0A5S9WMI9	
A0A5S9WMM2	
A0A5S9WNB1	
A0A5S9WNB8	
A0A5S9WNC4	
A0A5S9WNF0	
A0A5S9WNL3	
A0A5S9WNN8	
A0A5S9WNR4	
A0A5S9WPG2	
A0A5S9WPN8	
A0A5S9WQ10	
A0A5S9WQ48	
A0A5S9WQ94	
A0A5S9WQG0	
A0A5S9WQN8	
A0A5S9WR63	
A0A5S9WR66	
A0A5S9WR75	
A0A5S9WR90	
A0A5S9WRA2	
A0A5S9WSS5	
A0A5S9WSY6	
A0A5S9WT99	
A0A5S9WUW2	
A0A5S9WV27	
A0A5S9WV93	
A0A5S9WVJ7	
A0A5S9WVS4	
A0A5S9WVU3	
A0A5S9WVX5	
A0A5S9WW65	
A0A5S9WWE7	
A0A5S9WX29	
A0A5S9WX42	
A0A5S9WX54	
A0A5S9WXC6	
A0A5S9WYX8	
A0A5S9WYX9	
A0A5S9WYY2	
A0A5S9WZ12	
A0A5S9WZ78	
A0A5S9X096	
A0A5S9X146	
A0A5S9X1H1	
A0A5S9X1P5	
A0A5S9X365	
A0A5S9X378	
A0A5S9X478	
A0A5S9X4V2	
A0A5S9X4X6	
A0A5S9X626	
A0A5S9X637	
A0A5S9X6A4	
A0A5S9X6R8	
A0A5S9X6X3	
A0A5S9X830	
A0A5S9X8H0	
A0A5S9X8U7	
A0A5S9X9F8	
A0A5S9X9I7	
A0A5S9X9J8	AT3G04080;
A0A5S9X9N8	
A0A5S9X9W5	
A0A5S9X9W7	
A0A5S9XA17	
A0A5S9XAB9	
A0A5S9XBJ6	
A0A5S9XE17	
A0A5S9XE70	
A0A5S9XEE7	
A0A5S9XER7	
A0A5S9XEV5	
A0A5S9XF35	
A0A5S9XFA2	
A0A5S9XGI1	AT3G27100;
A0A5S9XGX8	
A0A5S9XHE5	
A0A5S9XHK1	
A0A5S9XI22	
A0A5S9XIZ9	AT3G48560;
A0A5S9XJB4	
A0A5S9XJF9	
A0A5S9XJQ5	
A0A5S9XJV5	
A0A5S9XKH0	
A0A5S9XL95	
A0A5S9XLD4	
A0A5S9XLL0	
A0A5S9XLT2	
A0A5S9XM00	
A0A5S9XM67	
A0A5S9XMA5	
A0A5S9XNF3	
A0A5S9XNN4	
A0A5S9XP07	
A0A5S9XP69	
A0A5S9XPA2	
A0A5S9XPH8	
A0A5S9XQ83	
A0A5S9XQG7	
A0A5S9XQJ0	
A0A5S9XR89	
A0A5S9XRI4	
A0A5S9XRQ2	
A0A5S9XRR9	
A0A5S9XS67	
A0A5S9XSG4	
A0A5S9XSP5	
A0A5S9XTB7	
A0A5S9XTE5	
A0A5S9XTJ0	
A0A5S9XTT2	
A0A5S9XU19	
A0A5S9XUG7	
A0A5S9XV33	
A0A5S9XV63	
A0A5S9XVU4	
A0A5S9XW48	
A0A5S9XW56	
A0A5S9XWE2	
A0A5S9XWF7	
A0A5S9XWT3	
A0A5S9XWW5	
A0A5S9XX08	
A0A5S9XX87	
A0A5S9XXQ7	
A0A5S9XXZ0	
A0A5S9XY21	
A0A5S9XYN3	
A0A5S9XZ21	
A0A5S9XZ28	
A0A5S9XZ80	
A0A5S9XZ96	
A0A5S9Y080	
A0A5S9Y0D7	
A0A5S9Y0F9	AT4G33420;
A0A5S9Y0S6	
A0A5S9Y1E0	
A0A5S9Y1E7	
A0A5S9Y1H6	
A0A5S9Y1I0	
A0A5S9Y1L6	
A0A5S9Y1Q6	
A0A5S9Y1Z5	
A0A5S9Y348	
A0A5S9Y3Z6	
A0A5S9Y4Y3	
A0A5S9Y586	
A0A5S9Y5K3	
A0A5S9Y5N8	
A0A5S9Y5R2	
A0A5S9Y692	
A0A5S9Y6V8	
A0A5S9Y816	
A0A5S9Y8S7	
A0A5S9Y929	
A0A5S9Y9B5	
A0A5S9Y9D3	
A0A5S9Y9S1	
A0A5S9YAF4	
A0A5S9YAQ1	
A0A5S9YBL0	
A0A5S9YBS9	
A0A5S9YBU1	
A0A5S9YBZ9	
A0A5S9YC22	
A0A5S9YC30	
A0A5S9YC52	
A0A5S9YD01	
A0A5S9YD22	
A0A5S9YDF8	
A0A5S9YDS4	
A0A5S9YE66	
A0A5S9YEA7	
A0A5S9YEY5	
A0A5S9YF65	
A0A5S9YFB5	
A0A5S9YFF9	
A0A5S9YFS1	
A0A5S9YG36	
A0A5S9YH16	
A0A5S9YH23	
A0A5S9YHI8	
A0A5S9YHS9	
A0A654E6D0	
A0A654E827	
A0A654E863	
A0A654E8R2	
A0A654E8X4	
A0A654E8Z0	
A0A654E9R7	
A0A654EA15	
A0A654EA26	
A0A654EA69	
A0A654EAB9	
A0A654EAF6	
A0A654EAK5	
A0A654EAU2	
A0A654EAV3	
A0A654EB31	
A0A654EBB8	
A0A654EBM5	
A0A654EBS7	
A0A654EBV8	
A0A654EC04	
A0A654EC20	
A0A654EC40	
A0A654ECL0	
A0A654ECT6	
A0A654EE89	
A0A654EFP0	
A0A654EFW8	
A0A654EFX5	
A0A654EHE9	
A0A654EHS4	
A0A654EIT6	
A0A654EJ79	
A0A654EJZ2	
A0A654EK09	
A0A654EK20	
A0A654EKH9	
A0A654EKI1	
A0A654EKI4	
A0A654EL73	
A0A654ELB7	
A0A654ELH2	
A0A654ELJ8	
A0A654ELJ9	
A0A654ELQ5	
A0A654ELU2	
A0A654ENT8	
A0A654EP20	
A0A654EPA5	
A0A654EPP6	
A0A654EQE2	AT1G78790;AT1G78810;
A0A654EQG1	
A0A654ERV1	
A0A654ERV2	
A0A654ERW4	
A0A654ES26	
A0A654ES49	
A0A654ET79	
A0A654ETJ7	
A0A654ETU3	
A0A654EU12	
A0A654EU21	
A0A654EU64	
A0A654EV39	AT2G17160;
A0A654EVS2	
A0A654EVT2	
A0A654EVV0	
A0A654EW41	
A0A654EW98	
A0A654EWD3	
A0A654EWK3	
A0A654EWP8	
A0A654EXX6	
A0A654EYE1	
A0A654EYF2	
A0A654EYT4	
A0A654EZ36	
A0A654EZL0	
A0A654EZY2	
A0A654F0I3	
A0A654F0T1	
A0A654F0X1	
A0A654F116	
A0A654F1K3	
A0A654F1W1	
A0A654F268	
A0A654F308	
A0A654F3Q5	
A0A654F4B6	
A0A654F4T7	
A0A654F4Y3	
A0A654F5V4	
A0A654F735	
A0A654F8H1	
A0A654F9A8	
A0A654F9P4	
A0A654F9W5	
A0A654FA01	
A0A654FA26	
A0A654FA52	
A0A654FAL7	
A0A654FAP7	
A0A654FCD4	
A0A654FDH2	
A0A654FDK7	
A0A654FDP3	
A0A654FDV5	
A0A654FE69	
A0A654FEB8	
A0A654FEQ9	
A0A654FF60	
A0A654FFB8	
A0A654FFG6	
A0A654FHS6	
A0A654FI05	
A0A654FIH5	
A0A654FIR9	
A0A654FJ74	
A0A654FKI5	
A0A654FKU9	
A0A654FLB3	
A0A654FLJ2	
A0A654FMB9	AT4G08170;
A0A654FMF4	
A0A654FMG3	
A0A654FN89	
A0A654FNH4	
A0A654FP99	
A0A654FPD5	AT4G14710;
A0A654FPF9	
A0A654FPJ2	AT4G15530;
A0A654FPW1	
A0A654FPZ0	
A0A654FQ74	
A0A654FQM6	
A0A654FQR3	
A0A654FQY0	
A0A654FRE8	
A0A654FRS5	
A0A654FS78	
A0A654FSR4	
A0A654FSY0	
A0A654FT14	
A0A654FT33	
A0A654FT45	
A0A654FTA2	
A0A654FTB1	
A0A654FU66	
A0A654FU94	
A0A654FUB2	
A0A654FUR9	
A0A654FUW4	
A0A654FW65	
A0A654FWD2	
A0A654FWE1	
A0A654FX12	AT4G39650;
A0A654FXI4	
A0A654FXM7	
A0A654FXU6	
A0A654FY85	
A0A654FYC5	
A0A654FYK7	
A0A654FYP4	
A0A654FYZ4	
A0A654FZ07	
A0A654FZ45	
A0A654FZI4	
A0A654FZJ9	
A0A654G0V7	
A0A654G118	
A0A654G1C1	
A0A654G238	
A0A654G250	
A0A654G2K6	AT5G18400;
A0A654G2P1	AT5G19890;
A0A654G347	
A0A654G458	
A0A654G4C9	
A0A654G4G7	
A0A654G581	
A0A654G666	
A0A654G6F8	
A0A654G6G1	
A0A654G703	
A0A654G737	
A0A654G768	
A0A654G7F4	
A0A654G7P4	
A0A654G7Q6	
A0A654G7T9	
A0A654G8G5	
A0A654G8I2	
A0A654G8U4	
A0A654G8Z3	
A0A654G9F5	
A0A654GA64	
A0A654GA78	
A0A654GAL6	
A0A654GBX5	
A0A654GC38	
A0A654GC70	
A0A654GCJ9	
A0A654GCL2	
A0A654GCR0	AT5G60300;
A0A654GD12	
A0A654GEK5	
A0A7G2DPY6	
A0A7G2DQM3	
A0A7G2DQN0	
A0A7G2DQQ5	
A0A7G2DQR2	
A0A7G2DQT5	
A0A7G2DRF2	
A0A7G2DRM3	
A0A7G2DRQ4	
A0A7G2DRX4	
A0A7G2DS38	
A0A7G2DT51	
A0A7G2DUB5	
A0A7G2DUE0	
A0A7G2DUG2	
A0A7G2DUG9	
A0A7G2DUX3	
A0A7G2DV27	
A0A7G2DVN9	
A0A7G2DVS0	
A0A7G2DVV9	
A0A7G2DWU3	
A0A7G2DWY4	
A0A7G2DXL9	
A0A7G2DXM1	
A0A7G2DY57	
A0A7G2DY67	
A0A7G2DYX9	
A0A7G2E0D6	
A0A7G2E0S6	
A0A7G2E0U0	
A0A7G2E0X9	
A0A7G2E120	
A0A7G2E2X7	
A0A7G2E332	
A0A7G2E479	
A0A7G2E4J1	
A0A7G2E5L3	
A0A7G2E5S7	
A0A7G2E603	
A0A7G2E6D0	
A0A7G2E6T4	
A0A7G2E6X0	
A0A7G2E742	
A0A7G2E7C9	
A0A7G2E7F0	
A0A7G2E7L7	
A0A7G2E808	
A0A7G2E832	
A0A7G2E852	
A0A7G2E876	
A0A7G2E8A1	
A0A7G2E8S6	
A0A7G2E8U6	
A0A7G2E9B3	
A0A7G2E9M2	
A0A7G2EAM0	
A0A7G2EAR0	
A0A7G2EB02	
A0A7G2EB23	
A0A7G2EBH4	
A0A7G2ECK9	
A0A7G2ED04	
A0A7G2EDC6	
A0A7G2EDH0	
A0A7G2EDP9	
A0A7G2EDS7	
A0A7G2EDZ8	
A0A7G2EEB2	
A0A7G2EEH4	
A0A7G2EEQ8	
A0A7G2EF22	
A0A7G2EF72	
A0A7G2EFD9	
A0A7G2EFP9	
A0A7G2EH28	
A0A7G2EH49	
A0A7G2EH97	
A0A7G2EHA4	
A0A7G2EI93	
A0A7G2EIB7	
A0A7G2EIG0	
A0A7G2EIX8	
A0A7G2EJ28	
A0A7G2EJC6	
A0A7G2EJV0	
A0A7G2EJW8	
A0A7G2EKT1	
A0A7G2EKW2	
A0A7G2EMD1	
A0A7G2EMR6	
A0A7G2EMU5	
A0A7G2EN97	
A0A7G2ENE8	
A0A7G2EP16	
A0A7G2EPP1	
A0A7G2EQF7	
A0A7G2EQP3	
A0A7G2EQT2	
A0A7G2ERH9	
A0A7G2ERT9	
A0A7G2ES12	
A0A7G2ES14	
A0A7G2ES33	
A0A7G2ES89	
A0A7G2ESM7	
A0A7G2EST8	
A0A7G2EUL4	
A0A7G2EUY6	
A0A7G2EV77	
A0A7G2EVR8	
A0A7G2EVT0	
A0A7G2EWZ4	
A0A7G2EXB5	
A0A7G2EXI6	
A0A7G2EXK1	
A0A7G2EXU5	
A0A7G2EY39	
A0A7G2EY67	
A0A7G2EYJ5	
A0A7G2EYV5	
A0A7G2EYV6	
A0A7G2EYZ5	
A0A7G2EZA2	
A0A7G2F056	AT4G22720;
A0A7G2F074	
A0A7G2F0Z6	
A0A7G2F1R0	
A0A7G2F2G4	
A0A7G2F2J7	
A0A7G2F2L1	
A0A7G2F2N9	
A0A7G2F2T3	
A0A7G2F374	
A0A7G2F3A3	
A0A7G2F3G2	
A0A7G2F3N2	
A0A7G2F3U4	
A0A7G2F423	
A0A7G2F4N3	
A0A7G2F4Q9	
A0A7G2F4T3	
A0A7G2F4Z9	
A0A7G2F595	
A0A7G2F5F4	
A0A7G2F5P0	
A0A7G2F5X3	
A0A7G2F632	
A0A7G2F6G4	
A0A7G2F6L9	
A0A7G2F6R7	
A0A7G2F6X4	
A0A7G2F729	
A0A7G2F7D0	
A0A7G2F7M2	
A0A7G2F7M4	
A0A7G2F7Q9	
A0A7G2F7R8	
A0A7G2F803	
A0A7G2F850	
A0A7G2F912	
A0A7G2F9C3	
A0A7G2F9G3	
